Fridge ID,City,Location,Year Founded,Maturity,Industry,IndustryNew,Company Type,Company Type*,Employee Type,Office Size,Innercompany Location,Lead Source,Fridge Type,Service Fee,Subsidy,Revenue,Registered Users,Active users (weekly average 2019 per terminal),Basket size/User/Week,Male/Female Ratio,# Newsletter subscriptions,NL/User,# Fingerprints,FP/User,# Restaurants nearby,Avg. NPS Score
5370,Berlin,Central,2011,immature,Service,E-Commerce,Grownup,Mature Start-Up,White Collar,300,Entrance,Internal Referral,Double Fridge,499 Û,1 Û,Û 355.69,1124,293.85,6.05,1.38,389,35%,314,28%,60,7.5
5637,Berlin,Fringe,2016,immature,Service,"B2C Software, Apps and Digital Services",Startup,Growing Start-Up,White Collar,90,Kitchen,Internal Referral,Double Fridge,499 Û,2 Û,Û 316.63,339,146.44,10.81,0.8,42,12%,108,32%,22,7.8
5661,Berlin,Fringe,2012,immature,Digital,"B2B Software, Data & Equipment",Corporate,Growing Start-Up,White Collar,230,Common Room,Inbound,Double Fridge,499 Û,3 Û,Û 228.45,199,104.67,10.91,1.26,75,38%,39,20%,21,8.2
5699,MÃ¼nchen,Fringe,1995,mature,Broadcasting,E-Commerce,Broadcasting,Corporate,Mixed,350,Hallway,Inbound,Double Fridge,499 Û,0 Û,Û 225.42,811,170.64,6.61,0.66,261,32%,217,27%,0,8
10003,MÃ¼nchen,Central,1999,mature,Finance,"Banking, Finance, Investment, Insurance & Payment",Startup,Corporate,White Collar,400,Hallway,Internal Referral,Double Fridge,499 Û,0 Û,Û 216.40,688,155.18,6.97,1,168,24%,315,46%,9,8.7
20018,Berlin,Central,2000,mature,Service,"B2C Software, Apps and Digital Services",Corporate,SME,White Collar,190,Kitchen,Direct Traffic,Double Fridge,499 Û,5 Û,Û 199.14,163,111.07,8.96,1.59,46,28%,42,26%,1,7.6
5484,Berlin,Central,2011,immature,Service,E-Commerce,Grownup,Growing Start-Up,Customer Care,120,Entrance,Internal Referral,Double Fridge,499 Û,1 Û,Û 197.11,17,157.15,6.27,0.89,8,47%,5,29%,60,
10012,Frankfurt,Fringe,1835,mature,Service,"Transport, Logistics & Delivery Services",Corporate,SME,Mixed,150,Entrance,Paid Social,Double Fridge,0 Û,2 Û,Û 194.10,182,104.15,9.32,1.53,61,34%,75,41%,7,8.6
5702,Frankfurt,Fringe,2015,immature,Product,E-Commerce,Startup,Growing Start-Up,White Collar,100,Common Room,Inbound,Double Fridge,199 Û,3 Û,Û 187.12,171,101.18,9.25,0.47,26,15%,83,49%,21,7
10010,MÃ¼nchen,Central,2011,immature,Digital,E-Commerce,Startup,Mature Start-Up,White Collar,450,Kitchen,Internal Referral,Double Fridge,499 Û,0 Û,Û 179.11,568,139.85,6.4,0.39,115,20%,145,26%,3,7.3
5476,Berlin,Central,2008,mature,Digital,E-Commerce,Grownup,Corporate,White Collar,400,Common Room,Internal Referral,Double Fridge,499 Û,0 Û,Û 178.41,231,119.52,7.46,0.32,61,26%,46,20%,60,
5621,Berlin,Central,1999,mature,Product,E-Commerce,Corporate,Corporate,White Collar,800,Hallway,Internal Referral,Double Fridge,1 Û,0 Û,Û 165.13,395,112.1,7.37,0.56,96,24%,88,22%,60,8.1
5722,Frankfurt,Fringe,1992,mature,Service,"B2B Software, Data & Equipment",Startup,SME,White Collar,250,Common Room,Inbound,Double Fridge,249 Û,2 Û,Û 163.41,210,95.54,8.55,2.82,55,26%,102,49%,9,8.8
5475,Berlin,Central,2011,immature,Service,"Transport, Logistics & Delivery Services",Startup,Mature Start-Up,White Collar,1000,Common Room,Inbound,Double Fridge,0 Û,0 Û,Û 157.61,1339,124.95,6.31,1.11,271,20%,169,13%,60,7.2
5552,Berlin,Central,1997,mature,Digital,"B2B Software, Data & Equipment",Innovation Lab,SME,White Collar,250,Kitchen,Internal Referral,Double Fridge,499 Û,0 Û,Û 157.60,394,103.26,7.63,2.1,60,15%,102,26%,39,7.7
5726,DÃ¼sseldorf,Fringe,1985,mature,Service,"Transport, Logistics & Delivery Services",Corporate,SME,White Collar,205,Kitchen,,Double Fridge,499 Û,1.50 Û,Û 155.31,9,91.95,8.45,0.8,2,22%,,0%,11,
5371,Berlin,Central,2017,immature,Digital,"B2C Software, Apps and Digital Services",Startup,Mature Start-Up,White Collar,350,Entrance,Internal Referral,Double Fridge,499 Û,2.00 Û,Û 140.57,300,91.31,7.7,1.03,56,19%,40,13%,60,7.4
10018,Frankfurt,Central,2013,immature,Service,E-Commerce,Startup,Growing Start-Up,White Collar,205,Kitchen,Direct Traffic,Double Fridge,499 Û,1.00 Û,Û 134.26,229,85.88,7.82,0.96,66,29%,67,29%,60,8.8
30011,KÃ¶ln,Central,1990,mature,Service,Trad. Consumer Goods & Retailer,Grownup,Corporate,White Collar,450,Project area,Paid Search,Single Fridge,499 Û,0.00 Û,Û 125.12,278,80.53,7.77,0.39,89,32%,58,21%,7,
